Filename,Zone,Easting,Northing,Date,Time
32U 374599 5465230_21022024_133432.jpg,32U,374599,5465230,21022024,133432
32U 374601 5465236_21022024_133413.jpg,32U,374601,5465236,21022024,133413
32U 374605 5465240_21022024_133421.jpg,32U,374605,5465240,21022024,133421
32U 374626 5465168_21022024_115749.jpg,32U,374626,5465168,21022024,115749
32U 374637 5465176_21022024_115731.jpg,32U,374637,5465176,21022024,115731
32U 374637 5465179_21022024_115729.jpg,32U,374637,5465179,21022024,115729
32U 374668 5465202_21022024_115500.jpg,32U,374668,5465202,21022024,115500
32U 374669 5465203_21022024_115456.jpg,32U,374669,5465203,21022024,115456
32U 374690 5465243_21022024_115339.jpg,32U,374690,5465243,21022024,115339
32U 374691 5465244_21022024_115335.jpg,32U,374691,5465244,21022024,115335
32U 374905 5465453_21022024_115048.jpg,32U,374905,5465453,21022024,115048
32U 374936 5465575_21022024_133822.jpg,32U,374936,5465575,21022024,133822
32U 374936 5465575_21022024_133829.jpg,32U,374936,5465575,21022024,133829
32U 374936 5465575_21022024_133831.jpg,32U,374936,5465575,21022024,133831
32U 374936 5465575_21022024_133833.jpg,32U,374936,5465575,21022024,133833
32U 374936 5465575_21022024_133835.jpg,32U,374936,5465575,21022024,133835
32U 374951 5465505_21022024_114950.jpg,32U,374951,5465505,21022024,114950
32U 375170 5465779_21022024_134000.jpg,32U,375170,5465779,21022024,134000
32U 375170 5465781_21022024_134007.jpg,32U,375170,5465781,21022024,134007
32U 375171 5465779_21022024_134002.jpg,32U,375171,5465779,21022024,134002
32U 375171 5465780_21022024_134005.jpg,32U,375171,5465780,21022024,134005
32U 375807 5466231_21022024_132323.jpg,32U,375807,5466231,21022024,132323
32U 375808 5466232_21022024_132321.jpg,32U,375808,5466232,21022024,132321
32U 375832 5466252_21022024_131446.jpg,32U,375832,5466252,21022024,131446
32U 375853 5466262_21022024_131413.jpg,32U,375853,5466262,21022024,131413
32U 375853 5466262_21022024_131416.jpg,32U,375853,5466262,21022024,131416
32U 375916 5466285_21022024_131051.jpg,32U,375916,5466285,21022024,131051
32U 375917 5466285_21022024_131048.jpg,32U,375917,5466285,21022024,131048
32U 375920 5466283_21022024_131046.jpg,32U,375920,5466283,21022024,131046
32U 375942 5466141_21022024_132106.jpg,32U,375942,5466141,21022024,132106
